"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"6382",2001-11-14,"Estonia","Kazakhstan",0,0,"Friendly","Tallinn","Estonia",FALSE,"EST","KAZ"
"6383",2001-11-14,"Germany","Ukraine",4,1,"FIFA World Cup qualification","Dortmund","Germany",FALSE,"GER","UKR"
"6384",2001-11-14,"Greece","Cyprus",1,2,"Friendly","Athens","Greece",FALSE,"GRE","CYP"
"6385",2001-11-14,"Hungary","North Macedonia",5,0,"Friendly","Budapest","Hungary",FALSE,"HUN","MKD"
"6386",2001-11-14,"Latvia","Russia",1,3,"Friendly","Riga","Latvia",FALSE,"LVA","RUS"
"6387",2001-11-14,"Malta","Canada",2,1,"Friendly","Paola","Malta",FALSE,"MLT","CAN"
"6388",2001-11-14,"Morocco","Zambia",1,0,"Friendly","Rabat","Morocco",FALSE,"MAR","ZAM"
"6389",2001-11-14,"Paraguay","Colombia",0,4,"FIFA World Cup qualification","Asunción","Paraguay",FALSE,"PAR","COL"
"6390",2001-11-14,"Peru","Bolivia",1,1,"FIFA World Cup qualification","Lima","Peru",FALSE,"PER","BOL"
"6391",2001-11-14,"Poland","Cameroon",0,0,"Friendly","Poznań","Poland",FALSE,"POL","CMR"
"6392",2001-11-14,"Portugal","Angola",5,1,"Friendly","Lisbon","Portugal",FALSE,"POR","ANG"
"6393",2001-11-14,"Romania","Slovenia",1,1,"FIFA World Cup qualification","Bucharest","Romania",FALSE,"ROU","SVN"
"6394",2001-11-14,"Spain","Mexico",1,0,"Friendly","Huelva","Spain",FALSE,"ESP","MEX"
"6395",2001-11-14,"Turkey","Austria",5,0,"FIFA World Cup qualification","Istanbul","Turkey",FALSE,"TUR","AUT"
"6396",2001-11-14,"Uruguay","Argentina",1,1,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","ARG"
"6397",2001-11-15,"Iran","Republic of Ireland",1,0,"FIFA World Cup qualification","Teheran","Iran",FALSE,"IRN","IRL"
"6398",2001-11-20,"Australia","Uruguay",1,0,"FIFA World Cup qualification","Melbourne","Australia",FALSE,"AUS","URU"
"6399",2001-11-20,"Madagascar","Mayotte",1,0,"Friendly","Antananarivo","Madagascar",FALSE,"MAD","MYT"
"6400",2001-11-21,"Ethiopia","Zambia",1,2,"Friendly","Addis Abeba","Ethiopia",FALSE,"ETH","ZAM"
"6401",2001-11-25,"Uruguay","Australia",3,0,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","AUS"
"6402",2001-11-28,"Tunisia","Togo",1,0,"Friendly","Tunis","Tunisia",FALSE,"TUN","TOG"
"6403",2001-11-29,"Oman","Kuwait",1,1,"Friendly","Muscat","Oman",FALSE,"OMA","KUW"
"6404",2001-12-05,"Algeria","Ghana",1,1,"Friendly","Algiers","Algeria",FALSE,"ALG","GHA"
"6405",2001-12-05,"Mali","Ivory Coast",0,3,"Friendly","Sikasso","Mali",FALSE,"MLI","CIV"
"6406",2001-12-08,"Rwanda","Somalia",3,0,"CECAFA Cup","Kigali","Rwanda",FALSE,"RWA","SOM"
"6407",2001-12-09,"Burundi","Tanzania",1,2,"CECAFA Cup","Kigali","Rwanda",TRUE,"BDI","TAN"
"6408",2001-12-09,"South Korea","United States",1,0,"Friendly","Seogwipo","South Korea",FALSE,"KOR","USA"
"6409",2001-12-09,"Uganda","Djibouti",10,1,"CECAFA Cup","Kigali","Rwanda",TRUE,"UGA","DJI"
"6410",2001-12-10,"Kenya","Eritrea",2,1,"CECAFA Cup","Kigali","Rwanda",TRUE,"KEN","ERI"
"6411",2001-12-11,"Burundi","Djibouti",3,1,"CECAFA Cup","Kigali","Rwanda",TRUE,"BDI","DJI"
"6412",2001-12-11,"Uganda","Tanzania",0,1,"CECAFA Cup","Kigali","Rwanda",TRUE,"UGA","TAN"
"6413",2001-12-12,"Kenya","Somalia",3,0,"CECAFA Cup","Kigali","Rwanda",TRUE,"KEN","SOM"
"6414",2001-12-12,"Rwanda","Eritrea",1,0,"CECAFA Cup","Kigali","Rwanda",FALSE,"RWA","ERI"
"6415",2001-12-13,"Bahrain","Oman",2,2,"Friendly","Manama","Bahrain",FALSE,"BHR","OMA"
"6416",2001-12-13,"Tanzania","Djibouti",4,1,"CECAFA Cup","Kigali","Rwanda",TRUE,"TAN","DJI"
"6417",2001-12-14,"Eritrea","Somalia",0,0,"CECAFA Cup","Kigali","Rwanda",TRUE,"ERI","SOM"
"6418",2001-12-14,"Uganda","Burundi",0,2,"CECAFA Cup","Kigali","Rwanda",TRUE,"UGA","BDI"
"6419",2001-12-15,"Botswana","Namibia",3,2,"Friendly","Gaborone","Botswana",FALSE,"BOT","NAM"
"6420",2001-12-15,"El Salvador","Haiti",0,0,"Friendly","Miami","United States",TRUE,"SLV","HAI"
"6421",2001-12-15,"Rwanda","Kenya",0,0,"CECAFA Cup","Kigali","Rwanda",FALSE,"RWA","KEN"
"6422",2001-12-16,"Botswana","Lesotho",1,0,"Friendly","Gaborone","Botswana",FALSE,"BOT","LES"
"6423",2001-12-16,"Burkina Faso","Togo",1,2,"Friendly","Ouagadougou","Burkina Faso",FALSE,"BFA","TOG"
"6424",2001-12-17,"Kenya","Eritrea",1,0,"CECAFA Cup","Kigali","Rwanda",TRUE,"KEN","ERI"
"6425",2001-12-18,"Ethiopia","Burundi",2,2,"Friendly","Kigali","Rwanda",TRUE,"ETH","BDI"
"6426",2001-12-18,"Rwanda","Uganda",3,2,"CECAFA Cup","Kigali","Rwanda",FALSE,"RWA","UGA"
"6427",2001-12-20,"Rwanda","Ethiopia",0,1,"CECAFA Cup","Kigali","Rwanda",FALSE,"RWA","ETH"
"6428",2001-12-22,"Kenya","Ethiopia",1,2,"CECAFA Cup","Kigali","Rwanda",TRUE,"KEN","ETH"
