"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"29771",2002-08-18,"U.S. Virgin Islands","Dominican Republic",1,5,"Gold Cup qualification","San Cristóbal","Dominican Republic",FALSE,"VIR","DOM"
"29772",2002-08-19,"Sudan","Jordan",0,0,"Friendly","Amman","Jordan",FALSE,"SDN","JOR"
"29773",2002-08-20,"DR Congo","Algeria",1,1,"Friendly","Blida","Algeria",FALSE,"COD","ALG"
"29774",2002-08-20,"Uganda","Egypt",0,2,"Friendly","Alexandria","Egypt",FALSE,"UGA","EGY"
"29775",2002-08-21,"Uzbekistan","Azerbaijan",0,2,"Friendly","Baku","Azerbaijan",FALSE,"UZB","AZE"
"29776",2002-08-21,"Serbia","Bosnia and Herzegovina",2,0,"Friendly","Sarajevo","Bosnia and Herzegovina",FALSE,"SRB","BIH"
"29777",2002-08-21,"Paraguay","Brazil",1,0,"Friendly","Fortaleza","Brazil",FALSE,"PAR","BRA"
"29778",2002-08-21,"Germany","Bulgaria",2,2,"Friendly","Sofia","Bulgaria",FALSE,"GER","BUL"
"29779",2002-08-21,"Wales","Croatia",1,1,"Friendly","Varaždin","Croatia",FALSE,"WAL","CRO"
"29780",2002-08-21,"Slovakia","Czech Republic",1,4,"Friendly","Olomouc","Czech Republic",FALSE,"SVK","CZE"
"29781",2002-08-21,"Moldova","Estonia",0,1,"Friendly","Tallinn","Estonia",FALSE,"MDA","EST"
"29782",2002-08-21,"Liechtenstein","Faroe Islands",1,3,"Friendly","Tórshavn","Faroe Islands",FALSE,"LIE","FRO"
"29783",2002-08-21,"Republic of Ireland","Finland",3,0,"Friendly","Helsinki","Finland",FALSE,"IRL","FIN"
"29784",2002-08-21,"Spain","Hungary",1,1,"Friendly","Budapest","Hungary",FALSE,"ESP","HUN"
"29785",2002-08-21,"Andorra","Iceland",0,3,"Friendly","Reykjavík","Iceland",FALSE,"AND","ISL"
"29786",2002-08-21,"Slovenia","Italy",1,0,"Friendly","Trieste","Italy",FALSE,"SVN","ITA"
"29787",2002-08-21,"Belarus","Latvia",4,2,"Friendly","Riga","Latvia",FALSE,"BLR","LVA"
"29788",2002-08-21,"Israel","Lithuania",4,2,"Friendly","Kaunas","Lithuania",FALSE,"ISR","LTU"
"29789",2002-08-21,"Morocco","Luxembourg",2,0,"Friendly","Luxembourg","Luxembourg",FALSE,"MAR","LUX"
"29790",2002-08-21,"Malta","North Macedonia",0,5,"Friendly","Skopje","North Macedonia",FALSE,"MLT","MKD"
"29791",2002-08-21,"Reunion","Mauritius",1,1,"Friendly","Curepipe","Mauritius",FALSE,"REU","MRI"
"29792",2002-08-21,"Cyprus","Northern Ireland",0,0,"Friendly","Belfast","Northern Ireland",FALSE,"CYP","NIR"
"29793",2002-08-21,"Netherlands","Norway",1,0,"Friendly","Oslo","Norway",FALSE,"NED","NOR"
"29794",2002-08-21,"Belgium","Poland",1,1,"Friendly","Szczecin","Poland",FALSE,"BEL","POL"
"29795",2002-08-21,"Greece","Romania",1,0,"Friendly","Constanţa","Romania",FALSE,"GRE","ROU"
"29796",2002-08-21,"Sweden","Russia",1,1,"Friendly","Moscow","Russia",FALSE,"SWE","RUS"
"29797",2002-08-21,"Denmark","Scotland",1,0,"Friendly","Glasgow","Scotland",FALSE,"DEN","SCO"
"29798",2002-08-21,"Austria","Switzerland",2,3,"Friendly","Basel","Switzerland",FALSE,"AUT","SUI"
"29799",2002-08-21,"France","Tunisia",1,1,"Friendly","Radès","Tunisia",FALSE,"FRA","TUN"
"29800",2002-08-21,"Georgia","Turkey",0,3,"Friendly","Trabzon","Turkey",FALSE,"GEO","TUR"
"29801",2002-08-21,"Iran","Ukraine",1,0,"Friendly","Kyïv","Ukraine",FALSE,"IRN","UKR"
"29802",2002-08-21,"Bolivia","Venezuela",0,2,"Friendly","Caracas","Venezuela",FALSE,"BOL","VEN"
"29803",2002-08-23,"Sudan","Egypt",0,3,"Friendly","Cairo","Egypt",FALSE,"SDN","EGY"
"29804",2002-08-24,"Kenya","Rwanda",0,0,"Friendly","Kigali","Rwanda",FALSE,"KEN","RWA"
"29805",2002-08-24,"Eswatini","South Africa",1,4,"COSAFA Cup","Polokwane","South Africa",FALSE,"SWZ","RSA"
"29806",2002-08-25,"Gabon","Angola",0,1,"Friendly","Luanda","Angola",FALSE,"GAB","ANG"
"29807",2002-08-25,"Sierra Leone","Gambia",0,1,"Friendly","Banjul","Gambia",FALSE,"SLE","GAM"
"29808",2002-08-26,"Lesotho","Botswana",1,0,"Friendly","Gaborone","Botswana",FALSE,"LES","BOT"
"29809",2002-08-26,"DR Congo","Congo",3,1,"Friendly","Brazzaville","Congo",FALSE,"COD","CGO"
"29810",2002-08-27,"Libya","Egypt",1,0,"Friendly","Alexandria","Egypt",FALSE,"LBY","EGY"
"29811",2002-08-29,"Jamaica","India",3,0,"Friendly","Watford","England",TRUE,"JAM","IND"
"29812",2002-08-30,"Iran","Jordan",0,1,"WAFF Championship","Damascus","Syria",TRUE,"IRN","JOR"
"29813",2002-08-30,"Palestine","Syria",1,2,"WAFF Championship","Damascus","Syria",FALSE,"PLE","SYR"
"29814",2002-08-30,"Lesotho","Zimbabwe",0,2,"Friendly","Harare","Zimbabwe",FALSE,"LES","ZIM"
"29815",2002-08-31,"Zambia","Uganda",2,2,"Friendly","Kampala","Uganda",FALSE,"ZAM","UGA"
"29816",2002-09-01,"Gabon","Congo",0,0,"Friendly","Brazzaville","Congo",FALSE,"GAB","CGO"
"29817",2002-09-01,"Guinea","Gambia",0,1,"Friendly","Banjul","Gambia",FALSE,"GUI","GAM"
"29818",2002-09-01,"Jamaica","India",0,0,"Friendly","Wolverhampton","England",TRUE,"JAM","IND"
"29819",2002-09-01,"Jordan","Lebanon",1,0,"WAFF Championship","Damascus","Syria",TRUE,"JOR","LBN"
"29820",2002-09-01,"Iraq","Palestine",2,0,"WAFF Championship","Damascus","Syria",TRUE,"IRQ","PLE"
"29821",2002-09-02,"Togo","Libya",0,4,"Friendly","Misurata","Libya",FALSE,"TOG","LBY"
"29822",2002-09-03,"Lebanon","Iran",0,2,"WAFF Championship","Damascus","Syria",TRUE,"LBN","IRN"
"29823",2002-09-03,"Iraq","Syria",1,0,"WAFF Championship","Damascus","Syria",FALSE,"IRQ","SYR"
"29824",2002-09-05,"Iran","Iraq",0,0,"WAFF Championship","Damascus","Syria",TRUE,"IRN","IRQ"
"29825",2002-09-05,"Israel","Luxembourg",5,0,"Friendly","Luxembourg","Luxembourg",FALSE,"ISR","LUX"
"29826",2002-09-05,"Jordan","Syria",2,1,"WAFF Championship","Damascus","Syria",FALSE,"JOR","SYR"
"29827",2002-09-06,"Serbia","Czech Republic",0,5,"Friendly","Prague","Czech Republic",FALSE,"SRB","CZE"
"29828",2002-09-06,"Cape Verde","Mauritania",2,0,"African Cup of Nations qualification","Nouakchott","Mauritania",FALSE,"CPV","MTN"
"29829",2002-09-07,"Ukraine","Armenia",2,2,"UEFA Euro qualification","Yerevan","Armenia",FALSE,"UKR","ARM"
"29830",2002-09-07,"Moldova","Austria",0,2,"UEFA Euro qualification","Vienna","Austria",FALSE,"MDA","AUT"
"29831",2002-09-07,"Italy","Azerbaijan",2,0,"UEFA Euro qualification","Baku","Azerbaijan",FALSE,"ITA","AZE"
"29832",2002-09-07,"Bulgaria","Belgium",2,0,"UEFA Euro qualification","Brussels","Belgium",FALSE,"BUL","BEL"
"29833",2002-09-07,"Romania","Bosnia and Herzegovina",3,0,"UEFA Euro qualification","Sarajevo","Bosnia and Herzegovina",FALSE,"ROU","BIH"
"29834",2002-09-07,"Eswatini","Botswana",0,0,"African Cup of Nations qualification","Gaborone","Botswana",FALSE,"SWZ","BOT"
"29835",2002-09-07,"Estonia","Croatia",0,0,"UEFA Euro qualification","Osijek","Croatia",FALSE,"EST","CRO"
"29836",2002-09-07,"France","Cyprus",2,1,"UEFA Euro qualification","Nicosia","Cyprus",FALSE,"FRA","CYP"
"29837",2002-09-07,"Portugal","England",1,1,"Friendly","Birmingham","England",FALSE,"POR","ENG"
"29838",2002-09-07,"Scotland","Faroe Islands",2,2,"UEFA Euro qualification","Toftir","Faroe Islands",FALSE,"SCO","FRO"
"29839",2002-09-07,"Wales","Finland",2,0,"UEFA Euro qualification","Helsinki","Finland",FALSE,"WAL","FIN"
"29840",2002-09-07,"Morocco","Gabon",1,0,"African Cup of Nations qualification","Libreville","Gabon",FALSE,"MAR","GAB"
"29841",2002-09-07,"Spain","Greece",2,0,"UEFA Euro qualification","Athens","Greece",FALSE,"ESP","GRE"
"29842",2002-09-07,"Hungary","Iceland",2,0,"Friendly","Reykjavík","Iceland",FALSE,"HUN","ISL"
"29843",2002-09-07,"Iraq","Jordan",3,2,"WAFF Championship","Damascus","Syria",TRUE,"IRQ","JOR"
"29844",2002-09-07,"Togo","Kenya",0,3,"African Cup of Nations qualification","Nairobi","Kenya",FALSE,"TOG","KEN"
"29845",2002-09-07,"North Korea","South Korea",0,0,"Friendly","Seoul","South Korea",FALSE,"PRK","KOR"
"29846",2002-09-07,"Sweden","Latvia",0,0,"UEFA Euro qualification","Riga","Latvia",FALSE,"SWE","LVA"
"29847",2002-09-07,"Germany","Lithuania",2,0,"UEFA Euro qualification","Kaunas","Lithuania",FALSE,"GER","LTU"
"29848",2002-09-07,"Algeria","Namibia",1,0,"African Cup of Nations qualification","Windhoek","Namibia",FALSE,"ALG","NAM"
"29849",2002-09-07,"Belarus","Netherlands",0,3,"UEFA Euro qualification","Eindhoven","Netherlands",FALSE,"BLR","NED"
"29850",2002-09-07,"Ethiopia","Niger",1,3,"African Cup of Nations qualification","Niamey","Niger",FALSE,"ETH","NIG"
"29851",2002-09-07,"Denmark","Norway",2,2,"UEFA Euro qualification","Oslo","Norway",FALSE,"DEN","NOR"
"29852",2002-09-07,"Republic of Ireland","Russia",2,4,"UEFA Euro qualification","Moscow","Russia",FALSE,"IRL","RUS"
"29853",2002-09-07,"Poland","San Marino",2,0,"UEFA Euro qualification","Serravalle","San Marino",FALSE,"POL","SMR"
"29854",2002-09-07,"Malta","Slovenia",0,3,"UEFA Euro qualification","Ljubljana","Slovenia",FALSE,"MLT","SVN"
"29855",2002-09-07,"Iran","Syria",2,2,"WAFF Championship","Damascus","Syria",FALSE,"IRN","SYR"
"29856",2002-09-07,"Slovakia","Turkey",0,3,"UEFA Euro qualification","Istanbul","Turkey",FALSE,"SVK","TUR"
"29857",2002-09-07,"Ghana","Uganda",0,1,"African Cup of Nations qualification","Kampala","Uganda",FALSE,"GHA","UGA"
"29858",2002-09-08,"Nigeria","Angola",0,0,"African Cup of Nations qualification","Luanda","Angola",FALSE,"NGA","ANG"
"29859",2002-09-08,"Tanzania","Benin",0,4,"African Cup of Nations qualification","Cotonou","Benin",FALSE,"TAN","BEN"
"29860",2002-09-08,"Burkina Faso","Congo",0,0,"African Cup of Nations qualification","Brazzaville","Congo",FALSE,"BFA","CGO"
"29861",2002-09-08,"Sierra Leone","Equatorial Guinea",3,1,"African Cup of Nations qualification","Malabo","Equatorial Guinea",FALSE,"SLE","EQG"
"29862",2002-09-08,"Liberia","Guinea",0,3,"African Cup of Nations qualification","Conakry","Guinea",FALSE,"LBR","GUI"
"29863",2002-09-08,"South Africa","Ivory Coast",0,0,"African Cup of Nations qualification","Abidjan","Ivory Coast",FALSE,"RSA","CIV"
"29864",2002-09-08,"Senegal","Lesotho",1,0,"African Cup of Nations qualification","Maseru","Lesotho",FALSE,"SEN","LES"
"29865",2002-09-08,"DR Congo","Libya",2,3,"African Cup of Nations qualification","Misurata","Libya",FALSE,"COD","LBY"
"29866",2002-09-08,"North Macedonia","Liechtenstein",1,1,"UEFA Euro qualification","Vaduz","Liechtenstein",FALSE,"MKD","LIE"
"29867",2002-09-08,"Eritrea","Seychelles",0,1,"African Cup of Nations qualification","Victoria","Seychelles",FALSE,"ERI","SEY"
"29868",2002-09-08,"Zambia","Sudan",1,0,"African Cup of Nations qualification","Omdurman","Sudan",FALSE,"ZAM","SDN"
"29869",2002-09-08,"Georgia","Switzerland",1,4,"UEFA Euro qualification","Basel","Switzerland",FALSE,"GEO","SUI"
"29870",2002-09-08,"Mali","Zimbabwe",0,1,"African Cup of Nations qualification","Harare","Zimbabwe",FALSE,"MLI","ZIM"
"29871",2002-09-09,"Mozambique","Central African Republic",1,1,"African Cup of Nations qualification","Bangui","Central African Republic",FALSE,"MOZ","CTA"
"29872",2002-09-17,"Morocco","Iran",1,1,"Friendly","Tabriz","Iran",FALSE,"MAR","IRN"
"29873",2002-09-18,"Gambia","Ivory Coast",0,5,"Friendly","Bouaké","Ivory Coast",FALSE,"GAM","CIV"
"29874",2002-09-19,"Paraguay","Iran",1,1,"Friendly","Tabriz","Iran",FALSE,"PAR","IRN"
"29875",2002-09-21,"South Africa","Malawi",3,1,"COSAFA Cup","Blantyre","Malawi",FALSE,"RSA","MWI"
"29876",2002-09-24,"Uganda","Algeria",1,1,"Friendly","Annaba","Algeria",FALSE,"UGA","ALG"
"29877",2002-09-25,"United Arab Emirates","Oman",1,2,"Friendly","Muscat","Oman",FALSE,"UAE","OMA"
"29878",2002-09-26,"Seychelles","Mauritius",0,1,"Friendly","Port Louis","Mauritius",FALSE,"SEY","MRI"
"29879",2002-09-28,"Malawi","South Africa",0,1,"COSAFA Cup","Durban","South Africa",FALSE,"MWI","RSA"
"29880",2002-09-28,"Zambia","Zimbabwe",0,0,"Friendly","Harare","Zimbabwe",FALSE,"ZAM","ZIM"
"29881",2002-10-02,"Mauritania","Mali",1,2,"Friendly","Bamako","Mali",FALSE,"MTN","MLI"
"29882",2002-10-03,"Niger","Morocco",1,6,"Friendly","Rabat","Morocco",FALSE,"NIG","MAR"
"29883",2002-10-05,"Mauritania","Mali",0,2,"Friendly","Bamako","Mali",FALSE,"MTN","MLI"
"29884",2002-10-06,"Saint Lucia","Barbados",2,3,"Friendly","Bridgetown","Barbados",FALSE,"LCA","BRB"
"29885",2002-10-06,"Lesotho","Eswatini",0,0,"Friendly","Big Bend","Eswatini",FALSE,"LES","SWZ"
"29886",2002-10-08,"Lesotho","Ghana",1,2,"Friendly","Accra","Ghana",FALSE,"LES","GHA"
"29887",2002-10-09,"Saint Lucia","Martinique",0,4,"Friendly","Rivière-Pilote","Martinique",FALSE,"LCA","MTQ"
"29888",2002-10-11,"Chad","Algeria",1,4,"African Cup of Nations qualification","Annaba","Algeria",FALSE,"CHA","ALG"
"29889",2002-10-11,"Germany","Bosnia and Herzegovina",1,1,"Friendly","Sarajevo","Bosnia and Herzegovina",FALSE,"GER","BIH"
"29890",2002-10-12,"Switzerland","Albania",1,1,"UEFA Euro qualification","Tirana","Albania",FALSE,"SUI","ALB"
"29891",2002-10-12,"Belgium","Andorra",1,0,"UEFA Euro qualification","Sant Julià de Lòria","Andorra",FALSE,"BEL","AND"
"29892",2002-10-12,"Austria","Belarus",2,0,"UEFA Euro qualification","Minsk","Belarus",FALSE,"AUT","BLR"
"29893",2002-10-12,"Croatia","Bulgaria",0,2,"UEFA Euro qualification","Sofia","Bulgaria",FALSE,"CRO","BUL"
"29894",2002-10-12,"Luxembourg","Denmark",0,2,"UEFA Euro qualification","Copenhagen","Denmark",FALSE,"LUX","DEN"
"29895",2002-10-12,"Zimbabwe","Eritrea",1,0,"African Cup of Nations qualification","Asmara","Eritrea",FALSE,"ZIM","ERI"
"29896",2002-10-12,"Azerbaijan","Finland",0,3,"UEFA Euro qualification","Helsinki","Finland",FALSE,"AZE","FIN"
"29897",2002-10-12,"Slovenia","France",0,5,"UEFA Euro qualification","Saint-Denis","France",FALSE,"SVN","FRA"
"29898",2002-10-12,"Scotland","Iceland",2,0,"UEFA Euro qualification","Reykjavík","Iceland",FALSE,"SCO","ISL"
"29899",2002-10-12,"Serbia","Italy",1,1,"UEFA Euro qualification","Naples","Italy",FALSE,"SRB","ITA"
"29900",2002-10-12,"Faroe Islands","Lithuania",0,2,"UEFA Euro qualification","Kaunas","Lithuania",FALSE,"FRO","LTU"
"29901",2002-10-12,"Turkey","North Macedonia",2,1,"UEFA Euro qualification","Skopje","North Macedonia",FALSE,"TUR","MKD"
"29902",2002-10-12,"Angola","Malawi",0,1,"African Cup of Nations qualification","Lilongwe","Malawi",FALSE,"ANG","MWI"
"29903",2002-10-12,"Israel","Malta",2,0,"UEFA Euro qualification","Attard","Malta",FALSE,"ISR","MLT"
"29904",2002-10-12,"Madagascar","Mauritius",1,0,"African Cup of Nations qualification","Centre de Flacq","Mauritius",FALSE,"MAD","MRI"
"29905",2002-10-12,"Czech Republic","Moldova",2,0,"UEFA Euro qualification","Chişinău","Moldova",FALSE,"CZE","MDA"
"29906",2002-10-12,"Latvia","Poland",1,0,"UEFA Euro qualification","Warsaw","Poland",FALSE,"LVA","POL"
"29907",2002-10-12,"Tunisia","Portugal",1,1,"Friendly","Lisbon","Portugal",FALSE,"TUN","POR"
"29908",2002-10-12,"Norway","Romania",1,0,"UEFA Euro qualification","Bucharest","Romania",FALSE,"NOR","ROU"
"29909",2002-10-12,"Nigeria","Senegal",2,2,"Friendly","Dakar","Senegal",FALSE,"NGA","SEN"
"29910",2002-10-12,"Gabon","Sierra Leone",0,2,"African Cup of Nations qualification","Freetown","Sierra Leone",FALSE,"GAB","SLE"
"29911",2002-10-12,"England","Slovakia",2,1,"UEFA Euro qualification","Bratislava","Slovakia",FALSE,"ENG","SVK"
"29912",2002-10-12,"Northern Ireland","Spain",0,3,"UEFA Euro qualification","Albacete","Spain",FALSE,"NIR","ESP"
"29913",2002-10-12,"Hungary","Sweden",1,1,"UEFA Euro qualification","Solna","Sweden",FALSE,"HUN","SWE"
"29914",2002-10-12,"Sudan","Tanzania",2,1,"African Cup of Nations qualification","Mwanza","Tanzania",FALSE,"SDN","TAN"
"29915",2002-10-12,"Greece","Ukraine",0,2,"UEFA Euro qualification","Kyïv","Ukraine",FALSE,"GRE","UKR"
"29916",2002-10-12,"Benin","Zambia",1,1,"African Cup of Nations qualification","Lusaka","Zambia",FALSE,"BEN","ZAM"
"29917",2002-10-13,"Botswana","DR Congo",0,2,"African Cup of Nations qualification","Kinshasa","DR Congo",FALSE,"BOT","COD"
"29918",2002-10-13,"New Zealand","Estonia",2,3,"Friendly","Tallinn","Estonia",FALSE,"NZL","EST"
"29919",2002-10-13,"Guinea","Ethiopia",0,1,"African Cup of Nations qualification","Addis Abeba","Ethiopia",FALSE,"GUI","ETH"
"29920",2002-10-13,"Rwanda","Ghana",2,4,"African Cup of Nations qualification","Accra","Ghana",FALSE,"RWA","GHA"
"29921",2002-10-13,"Seychelles","Mali",0,3,"African Cup of Nations qualification","Bamako","Mali",FALSE,"SEY","MLI"
"29922",2002-10-13,"Equatorial Guinea","Morocco",0,5,"African Cup of Nations qualification","Rabat","Morocco",FALSE,"EQG","MAR"
"29923",2002-10-13,"Congo","Mozambique",3,0,"African Cup of Nations qualification","Maputo","Mozambique",FALSE,"CGO","MOZ"
"29924",2002-10-13,"Libya","Eswatini",1,2,"African Cup of Nations qualification","Lobamba","Eswatini",FALSE,"LBY","SWZ"
"29925",2002-10-15,"Canada","Scotland",1,3,"Friendly","Edinburgh","Scotland",FALSE,"CAN","SCO"
"29926",2002-10-16,"Netherlands","Austria",3,0,"UEFA Euro qualification","Vienna","Austria",FALSE,"NED","AUT"
"29927",2002-10-16,"Andorra","Bulgaria",1,2,"UEFA Euro qualification","Sofia","Bulgaria",FALSE,"AND","BUL"
"29928",2002-10-16,"Ecuador","Costa Rica",1,1,"Friendly","San José","Costa Rica",FALSE,"ECU","CRC"
"29929",2002-10-16,"Belarus","Czech Republic",0,2,"UEFA Euro qualification","Teplice","Czech Republic",FALSE,"BLR","CZE"
"29930",2002-10-16,"North Macedonia","England",2,2,"UEFA Euro qualification","Southampton","England",FALSE,"MKD","ENG"
"29931",2002-10-16,"Belgium","Estonia",1,0,"UEFA Euro qualification","Tallinn","Estonia",FALSE,"BEL","EST"
"29932",2002-10-16,"Faroe Islands","Germany",1,2,"UEFA Euro qualification","Hanover","Germany",FALSE,"FRO","GER"
"29933",2002-10-16,"Armenia","Greece",0,2,"UEFA Euro qualification","Athens","Greece",FALSE,"ARM","GRE"
"29934",2002-10-16,"San Marino","Hungary",0,3,"UEFA Euro qualification","Budapest","Hungary",FALSE,"SMR","HUN"
"29935",2002-10-16,"Lithuania","Iceland",0,3,"UEFA Euro qualification","Reykjavík","Iceland",FALSE,"LTU","ISL"
"29936",2002-10-16,"Switzerland","Republic of Ireland",2,1,"UEFA Euro qualification","Dublin","Republic of Ireland",FALSE,"SUI","IRL"
"29937",2002-10-16,"Jamaica","Japan",1,1,"Friendly","Tokyo","Japan",FALSE,"JAM","JPN"
"29938",2002-10-16,"Romania","Luxembourg",7,0,"UEFA Euro qualification","Luxembourg","Luxembourg",FALSE,"ROU","LUX"
"29939",2002-10-16,"France","Malta",4,0,"UEFA Euro qualification","Attard","Malta",FALSE,"FRA","MLT"
"29940",2002-10-16,"Ukraine","Northern Ireland",0,0,"UEFA Euro qualification","Belfast","Northern Ireland",FALSE,"UKR","NIR"
"29941",2002-10-16,"Bosnia and Herzegovina","Norway",0,2,"UEFA Euro qualification","Oslo","Norway",FALSE,"BIH","NOR"
"29942",2002-10-16,"New Zealand","Poland",0,2,"Friendly","Ostrowiec Świętokrzyski","Poland",FALSE,"NZL","POL"
"29943",2002-10-16,"Albania","Russia",1,4,"UEFA Euro qualification","Volgograd","Russia",FALSE,"ALB","RUS"
"29944",2002-10-16,"Finland","Serbia",0,2,"UEFA Euro qualification","Belgrade","Yugoslavia",FALSE,"FIN","SRB"
"29945",2002-10-16,"Paraguay","Spain",0,0,"Friendly","Logroño","Spain",FALSE,"PAR","ESP"
"29946",2002-10-16,"Portugal","Sweden",3,2,"Friendly","Gothenburg","Sweden",FALSE,"POR","SWE"
"29947",2002-10-16,"Liechtenstein","Turkey",0,5,"UEFA Euro qualification","Istanbul","Turkey",FALSE,"LIE","TUR"
"29948",2002-10-16,"Italy","Wales",1,2,"UEFA Euro qualification","Cardiff","Wales",FALSE,"ITA","WAL"
"29949",2002-10-17,"Suriname","French Guiana",1,1,"Friendly","Cayenne","French Guiana",FALSE,"SUR","GUF"
"29950",2002-10-19,"Suriname","French Guiana",1,0,"Friendly","Cayenne","French Guiana",FALSE,"SUR","GUF"
"29951",2002-10-19,"Ghana","Sierra Leone",1,2,"Friendly","Freetown","Sierra Leone",FALSE,"GHA","SLE"
"29952",2002-10-20,"Ecuador","Venezuela",0,2,"Friendly","Caracas","Venezuela",FALSE,"ECU","VEN"
"29953",2002-10-23,"South Africa","Kenya",1,1,"Friendly","Arusha","Tanzania",TRUE,"RSA","KEN"
"29954",2002-10-23,"Uganda","Tanzania",2,0,"Friendly","Arusha","Tanzania",FALSE,"UGA","TAN"
"29955",2002-10-26,"Uganda","Kenya",1,1,"Friendly","Dar es Salaam","Tanzania",TRUE,"UGA","KEN"
"29956",2002-10-26,"South Africa","Tanzania",1,1,"Friendly","Dar es Salaam","Tanzania",FALSE,"RSA","TAN"
"29957",2002-11-03,"Saint Kitts and Nevis","Martinique",1,2,"Friendly","Fort-de-France","Martinique",FALSE,"KNA","MTQ"
"29958",2002-11-06,"Martinique","Saint Lucia",2,0,"Friendly","Vieux Fort","Saint Lucia",FALSE,"MTQ","LCA"
"29959",2002-11-08,"Antigua and Barbuda","Saint Lucia",1,2,"Friendly","Vieux Fort","Saint Lucia",FALSE,"ATG","LCA"
"29960",2002-11-09,"Jamaica","Barbados",1,1,"Gold Cup qualification","St. George's","Grenada",TRUE,"JAM","BRB"
"29961",2002-11-09,"Guadeloupe","Grenada",5,4,"Gold Cup qualification","St. George's","Grenada",FALSE,"GLP","GRN"
"29962",2002-11-10,"Indonesia","Singapore",1,1,"Friendly","Singapore","Singapore",FALSE,"IDN","SIN"
"29963",2002-11-11,"Barbados","Grenada",2,0,"Gold Cup qualification","St. George's","Grenada",FALSE,"BRB","GRN"
"29964",2002-11-11,"Guadeloupe","Jamaica",0,2,"Gold Cup qualification","St. George's","Grenada",TRUE,"GLP","JAM"
"29965",2002-11-13,"Guadeloupe","Barbados",1,0,"Gold Cup qualification","St. George's","Grenada",TRUE,"GLP","BRB"
"29966",2002-11-13,"Jamaica","Grenada",4,1,"Gold Cup qualification","St. George's","Grenada",FALSE,"JAM","GRN"
"29967",2002-11-13,"Saint Lucia","Saint Kitts and Nevis",1,2,"Gold Cup qualification","Macoya","Trinidad and Tobago",TRUE,"LCA","KNA"
"29968",2002-11-15,"Saint Kitts and Nevis","Trinidad and Tobago",0,2,"Gold Cup qualification","Port of Spain","Trinidad and Tobago",FALSE,"KNA","TRI"
"29969",2002-11-17,"Nicaragua","Cayman Islands",1,0,"Friendly","George Town","Cayman Islands",FALSE,"NCA","CAY"
"29970",2002-11-17,"Saint Lucia","Trinidad and Tobago",1,0,"Gold Cup qualification","Macoya","Trinidad and Tobago",FALSE,"LCA","TRI"
"29971",2002-11-17,"El Salvador","United States",0,2,"Friendly","Washington","United States",FALSE,"SLV","USA"
"29972",2002-11-18,"Antigua and Barbuda","Haiti",0,1,"Gold Cup qualification","Port-au-Prince","Haiti",FALSE,"ATG","HAI"
"29973",2002-11-19,"Senegal","South Africa",1,1,"Friendly","Johannesburg","South Africa",FALSE,"SEN","RSA"
"29974",2002-11-20,"Curacao","Antigua and Barbuda",1,1,"Gold Cup qualification","Port-au-Prince","Haiti",TRUE,"CUW","ATG"
"29975",2002-11-20,"Norway","Austria",1,0,"Friendly","Vienna","Austria",FALSE,"NOR","AUT"
"29976",2002-11-20,"Wales","Azerbaijan",2,0,"UEFA Euro qualification","Baku","Azerbaijan",FALSE,"WAL","AZE"
"29977",2002-11-20,"Malta","Cyprus",1,2,"UEFA Euro qualification","Nicosia","Cyprus",FALSE,"MLT","CYP"
"29978",2002-11-20,"Sweden","Czech Republic",3,3,"Friendly","Teplice","Czech Republic",FALSE,"SWE","CZE"
"29979",2002-11-20,"Poland","Denmark",0,2,"Friendly","Copenhagen","Denmark",FALSE,"POL","DEN"
"29980",2002-11-20,"Costa Rica","Ecuador",2,2,"Friendly","Quito","Ecuador",FALSE,"CRC","ECU"
"29981",2002-11-20,"Iceland","Estonia",0,2,"Friendly","Tallinn","Estonia",FALSE,"ISL","EST"
"29982",2002-11-20,"Serbia","France",0,3,"Friendly","Saint-Denis","France",FALSE,"SRB","FRA"
"29983",2002-11-20,"Netherlands","Germany",3,1,"Friendly","Gelsenkirchen","Germany",FALSE,"NED","GER"
"29984",2002-11-20,"Republic of Ireland","Greece",0,0,"Friendly","Athens","Greece",FALSE,"IRL","GRE"
"29985",2002-11-20,"Colombia","Honduras",0,1,"Friendly","San Pedro Sula","Honduras",FALSE,"COL","HON"
"29986",2002-11-20,"Moldova","Hungary",1,1,"Friendly","Budapest","Hungary",FALSE,"MDA","HUN"
"29987",2002-11-20,"Turkey","Italy",1,1,"Friendly","Pescara","Italy",FALSE,"TUR","ITA"
"29988",2002-11-20,"Argentina","Japan",2,0,"Friendly","Saitama","Japan",FALSE,"ARG","JPN"
"29989",2002-11-20,"Brazil","South Korea",3,2,"Friendly","Seoul","South Korea",FALSE,"BRA","KOR"
"29990",2002-11-20,"Cape Verde","Luxembourg",0,0,"Friendly","Hesperange","Luxembourg",FALSE,"CPV","LUX"
"29991",2002-11-20,"Israel","North Macedonia",3,2,"Friendly","Skopje","North Macedonia",FALSE,"ISR","MKD"
"29992",2002-11-20,"Mali","Morocco",3,1,"Friendly","Rabat","Morocco",FALSE,"MLI","MAR"
"29993",2002-11-20,"Jamaica","Nigeria",0,0,"Friendly","Lagos","Nigeria",FALSE,"JAM","NGA"
"29994",2002-11-20,"Scotland","Portugal",0,2,"Friendly","Braga","Portugal",FALSE,"SCO","POR"
