pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,2020-09-30,87.3,2.45,5.83,Hyun Jin Ryu,572287,547943,null,swinging_strike,,,,,12,null,F,R,L,TB,TOR,S,null,null,0,0,2020,0.8,1.2,0.4,3.32,null,null,595281,0,2,Bot,null,null,,,643376,,null,-6.732109698,-127.0134641,-2.456291071,10.57836738,26.34607902,-18.44564714,3.17,1.49,null,null,null,88,1815,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.72,null,null,null,null,null,null,null,17,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shift,Strategic
FC,2020-09-30,81.4,2.3,5.99,Hyun Jin Ryu,595281,547943,single,hit_into_play_no_out,,,,,9,Kevin Kiermaier singles on a line drive to center fielder Randal Grichuk.  ,F,L,L,TB,TOR,X,8,line_drive,1,0,2020,-0.2,0.8,0.47,2.01,null,null,null,0,2,Bot,108.92,81.19,,,643376,,null,-3.822678241,-118.5592836,-3.862282865,-0.892612894,22.01296083,-24.39062944,3.25,1.49,188,75.9,15,82.3,1915,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.73,0.671,0.604,0.9,1,1,0,4,16,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard
CU,2020-09-30,69.7,2.33,6.09,Hyun Jin Ryu,595281,547943,null,ball,,,,,13,null,F,L,L,TB,TOR,B,null,null,0,0,2020,-0.9,-1.1,-0.25,1.36,null,null,null,0,2,Bot,null,null,,,643376,,null,-3.516337967,-101.3255434,0.620490446,-5.318072428,19.46891439,-40.18005311,3.37,1.56,null,null,null,69.4,2341,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,54,null,null,null,null,null,null,null,16,1,Curveball,1,0,1,0,0,1,1,0,Standard,Standard
FC,2020-09-30,84.5,2.39,5.91,Hyun Jin Ryu,642715,547943,strikeout,swinging_strike,,,,,2,Willy Adames strikes out swinging.  ,F,R,L,TB,TOR,S,2,null,1,2,2020,-0.5,0.7,0.02,3.18,664040,622534,592669,2,1,Bot,null,null,,,643376,,null,-4.669660062,-123.0143748,-1.415592318,-3.803044029,22.8070914,-25.19911736,3.47,1.66,null,null,null,85.7,2074,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.6,null,null,0,1,0,0,null,10,4,Cutter,1,0,1,0,0,1,1,0,Standard,Standard
FC,2020-09-30,85.1,2.32,5.95,Hyun Jin Ryu,642715,547943,null,swinging_strike,,,,,1,null,F,R,L,TB,TOR,S,null,null,1,1,2020,-0.3,0.6,-0.83,3.48,664040,622534,592669,2,1,Bot,null,null,,,643376,,null,-6.789523553,-123.7403875,-0.733483352,-1.911638681,25.24290522,-25.69438571,3.47,1.66,null,null,null,85.7,2062,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.74,null,null,null,null,null,null,null,10,3,Cutter,1,0,1,0,0,1,1,0,Standard,Standard
FC,2020-09-30,85.4,2.31,5.86,Hyun Jin Ryu,642715,547943,null,called_strike,,,,,11,null,F,R,L,TB,TOR,S,null,null,1,0,2020,-0.4,0.9,-1.03,3.13,664040,622534,592669,2,1,Bot,null,null,,,643376,,null,-7.078298583,-124.2441111,-1.951068232,-3.122851974,23.24252592,-22.9241906,3.45,1.76,null,null,null,86.6,2007,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.59,null,null,null,null,null,null,null,10,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard
FF,2020-09-30,88.4,2.26,5.87,Hyun Jin Ryu,642715,547943,null,ball,,,,,12,null,F,R,L,TB,TOR,B,null,null,0,0,2020,0.7,1.4,0.02,3.77,664040,622534,592669,2,1,Bot,null,null,,,643376,,null,-7.048584277,-128.5972126,-1.922078653,9.655730608,28.4457786,-16.4613233,3.6,1.8,null,null,null,89,1926,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.65,null,null,null,null,null,null,null,10,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard
CH,2020-09-30,79.9,2.68,5.61,Hyun Jin Ryu,592669,547943,field_error,hit_into_play_no_out,,,,,14,Hunter Renfroe reaches on a throwing error by shortstop Bo Bichette.   Brandon Lowe to 3rd.    Manuel Margot to 2nd.  ,F,R,L,TB,TOR,X,6,ground_ball,2,2,2020,1.4,0.6,0.98,1.42,null,664040,622534,2,1,Bot,95.53,136.84,,,643376,,null,-6.354995376,-116.2201488,-3.583188728,13.46759649,21.31277566,-26.60542779,3.38,1.57,122,76.5,9,80.7,1462,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.67,0.321,0.289,0.9,1,0,0,2,9,5,Changeup,1,0,1,0,0,1,1,0,Infield shift,Strategic
CU,2020-09-30,74.3,2.17,6.08,Hyun Jin Ryu,592669,547943,null,ball,,,,,14,null,F,R,L,TB,TOR,B,null,null,1,2,2020,-1.1,-1.4,1.02,1.93,null,664040,622534,2,1,Bot,null,null,,,643376,,null,-0.473530849,-108.0656383,1.284651005,-8.074288083,22.94205285,-43.13094796,3.56,1.72,null,null,null,74.1,2576,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.82,null,null,null,null,null,null,null,9,4,Curveball,1,0,1,0,0,1,1,0,Infield shift,Strategic
FC,2020-09-30,86.7,2.32,5.86,Hyun Jin Ryu,592669,547943,null,foul,,,,,4,null,F,R,L,TB,TOR,S,null,null,1,1,2020,0,0.9,-0.35,2.45,null,664040,622534,2,1,Bot,null,null,,,643376,,null,-6.522891584,-126.121035,-3.767190336,1.869388428,26.86074001,-22.07131972,3.38,1.57,113,73.4,79,87.4,1990,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.66,null,null,null,null,null,null,null,9,3,Cutter,1,0,1,0,0,1,1,0,Infield shift,Strategic
