팀,구분,연도,기록
쌍방울,OPS,1982,0.739
쌍방울,OPS,1983,0.726
쌍방울,OPS,1984,0.739
쌍방울,OPS,1985,0.772
쌍방울,OPS,1986,0.744
쌍방울,OPS,1987,0.812
쌍방울,OPS,1988,0.75
쌍방울,OPS,1989,0.737
쌍방울,OPS,1990,0.752
쌍방울,OPS,1991,0.761
쌍방울,OPS,1992,0.752
쌍방울,OPS,1993,0.752
쌍방울,OPS,1994,0.726
쌍방울,OPS,1995,0.699
쌍방울,OPS,1996,0.697
쌍방울,OPS,1997,0.819
쌍방울,OPS,1998,0.773
쌍방울,OPS,1999,0.812
쌍방울,OPS,2000,0.795
쌍방울,OPS,2001,0.877
쌍방울,OPS,2002,0.831
쌍방울,OPS,2003,0.842
쌍방울,OPS,2004,0.757
쌍방울,OPS,2005,0.749
쌍방울,OPS,2006,0.783
쌍방울,OPS,2007,0.762
쌍방울,OPS,2008,0.723
쌍방울,OPS,2009,0.796
쌍방울,OPS,2010,0.774
쌍방울,OPS,2011,0.719
쌍방울,OPS,2012,0.742
쌍방울,OPS,2013,0.776
쌍방울,OPS,2014,0.852
쌍방울,OPS,2015,0.847
쌍방울,OPS,2016,0.858
쌍방울,OPS,2017,0.768
쌍방울,OPS,2018,0.788
쌍방울,OPS,2019,0.718
쌍방울,OPS,2020,0.732
쌍방울,타율,1982,NA
쌍방울,타율,1983,NA
쌍방울,타율,1984,NA
쌍방울,타율,1985,NA
쌍방울,타율,1986,NA
쌍방울,타율,1987,NA
쌍방울,타율,1988,NA
쌍방울,타율,1989,NA
쌍방울,타율,1990,NA
쌍방울,타율,1991,0.253
쌍방울,타율,1992,0.249
쌍방울,타율,1993,0.225
쌍방울,타율,1994,0.248
쌍방울,타율,1995,0.254
쌍방울,타율,1996,0.264
쌍방울,타율,1997,0.269
쌍방울,타율,1998,0.261
쌍방울,타율,1999,0.248
쌍방울,타율,2000,NA
쌍방울,타율,2001,NA
쌍방울,타율,2002,NA
쌍방울,타율,2003,NA
쌍방울,타율,2004,NA
쌍방울,타율,2005,NA
쌍방울,타율,2006,NA
쌍방울,타율,2007,NA
쌍방울,타율,2008,NA
쌍방울,타율,2009,NA
쌍방울,타율,2010,NA
쌍방울,타율,2011,NA
쌍방울,타율,2012,NA
쌍방울,타율,2013,NA
쌍방울,타율,2014,NA
쌍방울,타율,2015,NA
쌍방울,타율,2016,NA
쌍방울,타율,2017,NA
쌍방울,타율,2018,NA
쌍방울,타율,2019,NA
쌍방울,타율,2020,NA
키움,출루율,1982,NA
키움,출루율,1983,NA
키움,출루율,1984,NA
키움,출루율,1985,NA
키움,출루율,1986,NA
키움,출루율,1987,NA
키움,출루율,1988,NA
키움,출루율,1989,NA
키움,출루율,1990,NA
키움,출루율,1991,0.337
키움,출루율,1992,0.341
키움,출루율,1993,0.301
키움,출루율,1994,0.316
키움,출루율,1995,0.32
키움,출루율,1996,0.34
키움,출루율,1997,0.351
키움,출루율,1998,0.334
키움,출루율,1999,0.319
키움,출루율,2000,NA
키움,출루율,2001,NA
키움,출루율,2002,NA
키움,출루율,2003,NA
키움,출루율,2004,NA
키움,출루율,2005,NA
키움,출루율,2006,NA
키움,출루율,2007,NA
키움,출루율,2008,NA
키움,출루율,2009,NA
키움,출루율,2010,NA
키움,출루율,2011,NA
키움,출루율,2012,NA
키움,출루율,2013,NA
키움,출루율,2014,NA
키움,출루율,2015,NA
키움,출루율,2016,NA
키움,출루율,2017,NA
키움,출루율,2018,NA
키움,출루율,2019,NA
키움,출루율,2020,NA
